ID,PDB ID,Name,Type,Description,Bio Relevance,Notoriety,Discovery Year,Fun Fact
1,1HHO,Hemoglobin,transport,"The oxygen-carrying protein in red blood cells that gives blood its red color",98,95,1959,"First protein structure solved by X-ray crystallography, earning Max Perutz the Nobel Prize"
2,4INS,Insulin,signaling,"Hormone that regulates blood sugar levels in the body",99,98,1969,"First protein to have its amino acid sequence determined by Frederick Sanger in 1951"
3,1GFL,Green Fluorescent Protein (GFP),regulatory,"Jellyfish protein that glows green under UV light, revolutionized cell biology",85,92,1996,"Won the 2008 Nobel Prize and is now used in millions of experiments worldwide"
4,1BNA,DNA Double Helix,nucleic-acid,"The iconic B-form DNA structure that stores genetic information",100,100,1953,"Watson and Crick built their model using X-ray data from Rosalind Franklin"
5,6VXX,SARS-CoV-2 Spike Protein,viral,"The protein that COVID-19 uses to enter human cells",95,99,2020,"Structure was solved in just 12 days after sequence release - a scientific record"
6,1TUP,p53 Tumor Suppressor,regulatory,"Guardian of the genome - prevents cancer by stopping damaged cells",99,88,1994,"Mutated in over 50% of all human cancers, making it the most studied protein in cancer research"
7,4OO8,CRISPR-Cas9,enzyme,"Revolutionary gene-editing tool derived from bacterial immune systems",95,96,2014,"Led to the 2020 Nobel Prize, fastest ever from discovery to Nobel"
8,1MBO,Myoglobin,transport,"Oxygen-storing protein in muscles that makes meat red",90,85,1958,"The very first protein structure ever solved at atomic resolution"
9,1CGD,Collagen,structural,"Most abundant protein in your body, forms skin, bones, and tendons",97,80,1954,"Makes up 30% of all protein in your body and is the main ingredient in gelatin"
10,2HHB,Deoxyhemoglobin,transport,"Hemoglobin without oxygen, showing how proteins change shape",95,75,1984,"Revealed allostery - how proteins cooperatively bind molecules"
11,1LYZ,Lysozyme,enzyme,"Antibacterial enzyme found in tears, saliva, and egg whites",85,78,1965,"Discovered by Alexander Fleming before penicillin, first enzyme structure solved"
12,1TRZ,Trypsin,enzyme,"Digestive enzyme that breaks down proteins in your intestine",88,72,1971,"One of the first enzymes discovered, in 1876 by Wilhelm Kühne"
13,5E2O,ATP Synthase,enzyme,"Molecular turbine that produces ATP, the energy currency of cells",100,82,1994,"Rotates at 9000 RPM, making it the world's smallest motor"
14,1DDJ,Alcohol Dehydrogenase,enzyme,"Enzyme that breaks down alcohol in your liver",85,70,1994,"Variations in this enzyme explain why some people can't tolerate alcohol"
15,1HEW,Hen Egg White Lysozyme,enzyme,"Classic model enzyme for studying protein folding",80,75,1965,"Has been crystallized more times than any other protein"
16,1STP,Streptavidin,enzyme,"Bacterial protein with the strongest non-covalent bond in nature",75,80,1989,"Biotin-streptavidin bond is used in countless lab techniques"
17,1RTP,Reverse Transcriptase,enzyme,"HIV enzyme that copies RNA to DNA, target of AIDS drugs",92,85,1992,"Challenged the 'central dogma' of molecular biology"
18,1A4Y,Cytochrome c,enzyme,"Electron carrier essential for cellular respiration",90,70,1991,"Nearly identical across all life forms - from yeast to humans"
19,3PFK,Phosphofructokinase,enzyme,"Key regulatory enzyme in glucose metabolism",88,65,1994,"Master switch controlling how fast cells burn sugar for energy"
20,1A2C,Acetylcholinesterase,enzyme,"Breaks down neurotransmitter acetylcholine in synapses",90,72,1991,"One of the fastest enzymes known - processes 25,000 molecules per second"
21,1IGT,Immunoglobulin G (IgG),immune,"The most common antibody in your blood",98,90,1977,"Y-shaped structure inspired the term 'magic bullet' in medicine"
22,1A6M,MHC Class I,immune,"Presents internal cell contents to immune cells",95,75,1987,"Why organ transplants get rejected - everyone's MHC is unique"
23,1DLH,MHC Class II,immune,"Presents external pathogens to helper T cells",94,72,1993,"Key to understanding autoimmune diseases"
24,1CD8,CD8 T Cell Receptor,immune,"Helps killer T cells recognize infected cells",92,68,1991,"Target of modern cancer immunotherapies"
25,1TNF,Tumor Necrosis Factor,signaling,"Inflammatory cytokine that can kill cancer cells",90,78,1989,"Blocking TNF revolutionized treatment of arthritis and Crohn's disease"
26,1ALU,Interleukin-2,signaling,"Growth factor for T cells, used in cancer therapy",88,75,1992,"First immunotherapy approved for cancer treatment in 1992"
27,1RHH,Interferon-gamma,signaling,"Antiviral cytokine that activates macrophages",87,72,1991,"Named for interfering with viral replication"
28,1F45,Complement C3,immune,"Central protein of the complement immune system",90,65,1991,"Part of an ancient immune system older than antibodies"
29,1TFH,Transferrin,transport,"Carries iron in blood and regulates iron levels",88,70,1992,"Also part of the immune system - starves bacteria of iron"
30,1A8O,C-Reactive Protein,immune,"Inflammation marker used in blood tests worldwide",85,80,1996,"Levels can increase 1000-fold during infection"
31,1RAS,Ras GTPase,signaling,"Molecular switch controlling cell growth",98,85,1990,"Mutated in 30% of all human cancers"
32,2SRC,Src Kinase,enzyme,"First discovered oncogene product",95,80,1999,"From chicken virus that causes cancer - led to kinase drug revolution"
33,1ATP,Protein Kinase A,enzyme,"Classic cAMP-dependent signaling kinase",90,75,1991,"First protein kinase structure solved"
34,1IRK,Insulin Receptor,receptor,"Detects insulin and triggers glucose uptake",96,82,1994,"Defects cause diabetes - target of many drug therapies"
35,1EGF,Epidermal Growth Factor,signaling,"Promotes cell growth and wound healing",88,78,1972,"Discovered by Stanley Cohen, who won Nobel Prize in 1986"
36,1VPU,VEGF,signaling,"Grows new blood vessels, target in cancer therapy",92,80,1997,"Blocking VEGF starves tumors by cutting off blood supply"
37,1GRN,Growth Hormone,signaling,"Stimulates growth and cell reproduction",90,85,1992,"First human protein made by genetic engineering (1979)"
38,1IL6,Interleukin-6,signaling,"Pro-inflammatory cytokine, elevated in COVID-19",90,82,1997,"Blocking IL-6 became emergency COVID-19 treatment"
39,1GZM,Granzyme B,enzyme,"Killer enzyme used by immune cells to destroy targets",85,65,1999,"Literally punches holes and triggers cell suicide"
40,1WAQ,WNT Protein,signaling,"Controls embryo development and stem cells",92,75,2012,"Name is combo of wingless (fly gene) and int-1 (mouse gene)"
41,1ERK,ERK1/2 Kinase,enzyme,"Key enzyme in the MAP kinase cascade",90,72,2001,"Target of many cancer drugs"
42,1JNK,JNK Kinase,enzyme,"Stress-activated kinase, responds to damage",85,68,1995,"Name means Jun N-terminal kinase"
43,1A28,Calmodulin,signaling,"Universal calcium sensor in all cells",92,75,1988,"Highly conserved - nearly identical in all animals"
44,1NF1,Neurofibromin,regulatory,"Tumor suppressor mutated in neurofibromatosis",85,60,1998,"One of the largest human proteins at 2818 amino acids"
45,1BRV,BRCA1,regulatory,"DNA repair protein, mutations cause breast cancer",95,90,2001,"Angelina Jolie publicly revealed her BRCA1 mutation in 2013"
46,1N5O,BRCA2,regulatory,"Partner of BRCA1 in DNA repair",94,85,2002,"Also linked to pancreatic and prostate cancer"
47,1AOI,Histone H3,structural,"DNA packaging protein central to gene regulation",95,75,1997,"One of most conserved proteins in all of evolution"
48,1EQZ,Sonic Hedgehog,signaling,"Embryonic development signaling protein",90,88,1999,"Named after the video game character by a scientist who was a fan"
49,1UBQ,Ubiquitin,regulatory,"Tags proteins for destruction, earned Nobel Prize",98,80,1987,"Present in all eukaryotic cells hence name ubi-quit-in"
50,1B9E,Leptin,signaling,"Hormone regulating appetite and metabolism",90,82,1997,"Mice lacking leptin become extremely obese"
51,2MYS,Myosin,motor,"Molecular motor powering muscle contraction",98,80,1993,"Can generate 10 piconewtons of force"
52,1TUB,Tubulin,structural,"Builds microtubules for cell structure and transport",95,78,1998,"Target of cancer drugs like taxol which prevent cell division"
53,1ATN,Actin,structural,"Most abundant protein in many cells, forms cytoskeleton",98,75,1990,"Makes up 15% of total protein in muscle cells"
54,1C1G,Kinesin,motor,"Walks along microtubules carrying cargo",88,75,1996,"Takes 100 'steps' per second along the microtubule"
55,1DYN,Dynein,motor,"Motor protein that walks opposite direction to kinesin",88,70,2012,"One of the largest protein complexes in cells"
56,1TNT,Troponin,regulatory,"Regulates muscle contraction, marker of heart attack",90,85,2003,"Troponin blood test is gold standard for diagnosing heart attacks"
57,1A36,Tropomyosin,regulatory,"Controls access to actin for muscle contraction",85,65,2001,"Works like a gate that opens when calcium is present"
58,1DQ0,Titin,structural,"Largest known protein, gives muscles elasticity",90,78,2006,"Full name is 189,819 letters long - longest word in English"
59,2NRL,Spectrin,structural,"Maintains red blood cell shape",82,60,1993,"Defects cause hereditary spherocytosis - round blood cells"
60,1ZGK,Keratin,structural,"Main structural protein of hair, skin, and nails",85,80,2006,"Rhinoceros horns are made entirely of keratin"
61,3HBT,Elastin,structural,"Gives skin and arteries their stretchiness",85,70,2002,"Can stretch to 150% and snap back like a rubber band"
62,1K6F,Fibronectin,structural,"Connects cells to the extracellular matrix",88,65,2003,"Key player in wound healing"
63,1BJ1,Laminin,structural,"Major component of basement membranes",87,62,1999,"Cross-shaped molecule that anchors cells in place"
64,1CID,Connexin,channel,"Forms gap junctions between cells",88,68,1997,"Creates pores that let small molecules pass between cells"
65,1M4X,Claudin,structural,"Seals tight junctions in epithelial cells",85,55,2014,"Prevents leaks between cells lining your gut"
66,1AVD,Avidin,storage,"Egg white protein that binds biotin extremely tightly",70,72,1993,"Used in labs as molecular glue due to super-strong binding"
67,1AXC,Annexin V,signaling,"Binds phosphatidylserine on dying cells",80,70,1995,"Used to detect cell death in research and medicine"
68,1DUP,Dystrophin,structural,"Connects muscle fibers to matrix, missing in muscular dystrophy",92,80,1998,"One of longest human genes - 2.4 million base pairs"
69,1AQD,Aquaporin,channel,"Water channel that earned Peter Agre Nobel Prize",90,80,1997,"Lets 3 billion water molecules per second pass through"
70,1FCC,Ferritin,storage,"Iron storage protein that can hold 4500 iron atoms",88,72,1991,"Shaped like a hollow ball to safely store toxic iron"
71,2CGA,Chymotrypsin,enzyme,"Digestive protease from pancreas",82,70,1967,"Classic model for understanding enzyme mechanisms"
72,3CPA,Carboxypeptidase A,enzyme,"Zinc-containing digestive enzyme",80,65,1967,"First zinc enzyme to have structure solved"
73,1PPB,Thrombin,enzyme,"Key enzyme in blood clotting cascade",92,75,1992,"Target of blood thinner medications like dabigatran"
74,1EZM,Elastase,enzyme,"Degrades elastin in lungs, implicated in emphysema",85,68,1989,"Smoking disables its inhibitor, causing lung damage"
75,1PSO,Pepsin,enzyme,"Main digestive enzyme in your stomach",88,75,1991,"Works in extremely acidic conditions (pH 2)"
76,1HHL,Hemagglutinin,viral,"Influenza surface protein that binds to cells",92,82,1981,"The H in H1N1 flu names stands for hemagglutinin type"
77,1NNA,Neuraminidase,viral,"Influenza enzyme, target of Tamiflu",90,80,1983,"The N in H1N1 stands for neuraminidase type"
78,1HIV,HIV Protease,enzyme,"AIDS virus enzyme, target of protease inhibitors",95,88,1989,"Blocking this enzyme was breakthrough in AIDS treatment"
79,1HSG,HIV Reverse Transcriptase,enzyme,"How HIV copies its genome into human DNA",95,85,1992,"Target of AZT, first AIDS drug approved"
80,1A1M,HIV Integrase,enzyme,"Inserts HIV DNA into human chromosomes",92,78,2010,"Newest class of AIDS drugs target this enzyme"
81,1RNT,Ribonuclease T1,enzyme,"RNA-cutting enzyme from fungus",75,65,1989,"One of first enzymes to have complete structure determined"
82,1RNH,Ribonuclease H,enzyme,"Degrades RNA in RNA-DNA hybrids",85,60,1990,"Essential for HIV replication"
83,1CGP,CAP Protein,regulatory,"Bacterial gene regulator activated by cAMP",85,70,1991,"Classic model of gene regulation in bacteria"
84,1LMB,Lambda Repressor,regulatory,"Viral gene switch - on or off decision",82,72,1987,"Model system for understanding genetic switches"
85,1BL8,Potassium Channel,channel,"Selective pore for potassium ions, Nobel Prize work",95,85,1998,"MacKinnon won 2003 Nobel for showing how it selects K+"
86,1OCC,Cytochrome c Oxidase,enzyme,"Final enzyme of cellular respiration",95,72,1995,"Uses oxygen to make water - the reason we breathe"
87,1QLE,Cytochrome bc1 Complex,enzyme,"Respiratory chain electron transfer complex",90,65,1998,"Target of fungicides and antimalarial drugs"
88,1FEH,Chlorophyll Binding Protein,photosynthetic,"Captures light energy in photosynthesis",92,70,2004,"Why plants are green - absorbs red and blue light"
89,1JBO,Photosystem I,photosynthetic,"Converts light to chemical energy in plants",95,75,2001,"One of most efficient energy converters in nature"
90,1FE1,Photosystem II,photosynthetic,"Splits water and produces oxygen",98,78,2004,"All oxygen you breathe comes from this protein"
91,1RCX,RuBisCO,enzyme,"Most abundant protein on Earth, fixes CO2",100,80,1989,"Estimated 700 million tons exist on Earth"
92,1NIP,Nitrogenase,enzyme,"Fixes atmospheric nitrogen for life",98,72,1992,"Only enzyme that can break nitrogen triple bond"
93,1FFT,Flavodoxin,enzyme,"Electron carrier in bacterial metabolism",75,55,1975,"Replaces ferredoxin when iron is scarce"
94,1FDR,Ferredoxin Reductase,enzyme,"Electron transfer enzyme in photosynthesis",80,58,1995,"Critical link in photosynthetic electron chain"
95,1FDX,Ferredoxin,enzyme,"Iron-sulfur protein for electron transfer",85,60,1992,"Ancient protein present in all kingdoms of life"
96,1PFK,Phosphofructokinase-2,enzyme,"Regulator of glycolysis",85,60,1999,"Altered in diabetes and cancer"
97,1ENO,Enolase,enzyme,"Glycolytic enzyme, also on cell surface",80,55,1996,"Moonlights as receptor for plasminogen"
98,1GPI,Glucose-6-phosphate Isomerase,enzyme,"Glycolytic enzyme with multiple functions",82,58,1995,"Also works as nerve growth factor outside cells"
99,1HEX,Hexokinase,enzyme,"First enzyme of glucose metabolism",90,70,1997,"Changes shape dramatically when glucose binds"
100,1PGK,Phosphoglycerate Kinase,enzyme,"ATP-generating enzyme of glycolysis",82,55,1993,"Produces ATP during glucose breakdown"
101,1F88,Rhodopsin,receptor,"Light receptor enabling vision",95,82,2000,"Can detect single photon of light"
102,2RH1,Beta-2 Adrenergic Receptor,receptor,"Adrenaline receptor, target of asthma drugs",95,88,2007,"Won Kobilka and Lefkowitz 2012 Nobel Prize"
103,3ODU,Dopamine D3 Receptor,receptor,"Brain reward receptor, target of schizophrenia drugs",90,80,2010,"Involved in addiction and Parkinson's disease"
104,4DJH,Opioid Receptor,receptor,"Pain and pleasure receptor, target of morphine",92,88,2012,"Overactivation causes opioid addiction"
105,5HT2B,Serotonin Receptor,receptor,"Mood regulation receptor",90,82,2013,"Target of antidepressants and psychedelics"
106,4EIY,Adenosine A2A Receptor,receptor,"How caffeine keeps you awake",85,78,2011,"Caffeine blocks this receptor to prevent sleepiness"
107,3RZE,Histamine H1 Receptor,receptor,"Allergy receptor blocked by antihistamines",85,80,2011,"Target of Benadryl and other allergy medications"
108,4U15,Cannabinoid CB1 Receptor,receptor,"Main target of marijuana compounds",85,85,2016,"Most abundant GPCR in the brain"
109,3EML,Glutamate Receptor,receptor,"Main excitatory receptor in brain",95,75,2009,"Central to learning and memory"
110,4COF,GABA-A Receptor,receptor,"Main inhibitory brain receptor",95,78,2014,"Target of benzodiazepines, alcohol, and anesthetics"
111,2BG9,Nicotinic Acetylcholine Receptor,receptor,"Nicotine and muscle movement receptor",95,82,2005,"First neurotransmitter receptor identified"
112,1SRA,Sarcoplasmic Reticulum Ca-ATPase,enzyme,"Pumps calcium in muscle cells",90,68,2000,"Critical for muscle relaxation after contraction"
113,3WGU,Sodium-Potassium Pump,enzyme,"Maintains ion gradients in all cells",98,78,2013,"Uses 20-25% of all ATP in your body"
114,3KDP,Sodium Channel,channel,"Generates electrical signals in nerves",95,80,2011,"Target of local anesthetics like lidocaine"
115,3J5P,Calcium Channel,channel,"Controls calcium entry for muscles and neurons",92,75,2015,"Target of blood pressure medications"
116,5IRX,CFTR,channel,"Chloride channel mutated in cystic fibrosis",92,85,2017,"New drugs can fix some CFTR mutations"
117,1MAL,Maltoporin,channel,"Bacterial pore for sugar transport",75,55,1995,"Shows how channels can be selective"
118,1BXW,Outer Membrane Protein F,channel,"General bacterial pore protein",78,58,1995,"Beta-barrel structure unique to outer membranes"
119,1AF6,Porin,channel,"First membrane channel structure solved",82,70,1991,"Breakthrough showing membrane proteins could be crystallized"
120,2OAR,Bacteriorhodopsin,transport,"Light-driven proton pump",80,75,1997,"Basis for optogenetics revolution in neuroscience"
121,1BPX,DNA Polymerase Beta,enzyme,"Repairs damaged DNA",90,70,1996,"Fixes about 20,000 DNA lesions per cell per day"
122,1TAU,DNA Polymerase I,enzyme,"First DNA polymerase discovered",92,78,1985,"Arthur Kornberg won Nobel for discovering it in 1959"
123,1IG9,Taq Polymerase,enzyme,"Heat-stable enzyme that powers PCR",90,92,1999,"From hot spring bacterium, enabled DNA testing revolution"
124,2AHM,RNA Polymerase II,enzyme,"Copies DNA to make messenger RNA",98,80,2001,"Roger Kornberg (Arthur's son) won Nobel for its structure"
125,1MSW,Bacterial RNA Polymerase,enzyme,"Bacterial gene reading machine",95,75,1999,"Target of antibiotic rifampicin for tuberculosis"
126,1EHZ,tRNA Synthetase,enzyme,"Attaches amino acids to tRNA",95,68,1989,"20 different versions, one for each amino acid"
127,1FJG,Ribosome (Large Subunit),enzyme,"Makes proteins from mRNA instructions",100,88,2000,"Venki Ramakrishnan won Nobel for structure in 2009"
128,1J5E,Ribosome (Small Subunit),enzyme,"Reads genetic code during translation",100,85,2000,"Target of many antibiotics"
129,1SFW,Helicase,enzyme,"Unwinds DNA double helix",92,70,1996,"Works like a molecular zipper"
130,1BGX,Topoisomerase I,enzyme,"Releases DNA supercoiling tension",90,72,1998,"Target of cancer drugs like topotecan"
131,1AB4,Gyrase,enzyme,"Introduces negative supercoils in DNA",88,70,1997,"Target of fluoroquinolone antibiotics"
132,1BER,Base Excision Repair Enzyme,enzyme,"Removes damaged DNA bases",88,62,1995,"Tomas Lindahl won 2015 Nobel for discovering this repair"
133,1VAS,Nucleotide Excision Repair,enzyme,"Cuts out bulky DNA damage",90,65,1995,"Defects cause extreme sun sensitivity (xeroderma)"
134,1LMN,Lac Repressor,regulatory,"Classic gene regulation switch",85,75,1996,"Jacob and Monod won Nobel for discovering it"
135,1TRO,Trp Repressor,regulatory,"Controls tryptophan synthesis genes",80,65,1988,"Elegant feedback regulation example"
136,1HCR,Cro Repressor,regulatory,"Bacteriophage lambda gene switch",75,60,1988,"One of smallest DNA-binding proteins known"
137,1ZME,Zinc Finger,regulatory,"Common DNA binding domain",90,72,1991,"Used in first gene editing tools before CRISPR"
138,1HDD,Homeodomain,regulatory,"Controls body plan development",92,75,1990,"Similar in flies and humans after 600 million years"
139,1YTB,TATA Binding Protein,regulatory,"Starts gene reading by bending DNA",92,70,1993,"Bends DNA nearly 90 degrees"
140,1PNR,Purine Nucleoside Phosphorylase,enzyme,"Recycles purine bases",80,55,1998,"Deficiency causes severe immunodeficiency"
141,1XO2,Xanthine Oxidase,enzyme,"Makes uric acid, target of gout drugs",85,70,2004,"Allopurinol for gout blocks this enzyme"
142,1M1K,Dihydrofolate Reductase,enzyme,"Makes DNA building blocks",88,72,1982,"Target of methotrexate cancer drug"
143,1THY,Thymidylate Synthase,enzyme,"Makes T for DNA",88,68,1995,"Target of 5-fluorouracil cancer drug"
144,1RRF,Ribonucleotide Reductase,enzyme,"Makes DNA from RNA building blocks",92,65,1999,"Essential for DNA synthesis and cancer drug target"
145,1QD1,Telomerase,enzyme,"Extends chromosome ends",95,88,2007,"Won 2009 Nobel, active in cancer and stem cells"
146,1CRN,Crambin,structural,"Small plant protein, high-resolution model",50,60,1981,"One of highest resolution protein structures ever"
147,1REI,Bence Jones Protein,immune,"Antibody fragment from myeloma patients",75,65,1975,"First human protein structure determined"
148,1PPE,Pancreatic Trypsin Inhibitor,regulatory,"Protects pancreas from self-digestion",75,72,1973,"Most studied small protein for folding"
149,1HOE,Alpha-amylase Inhibitor,regulatory,"Blocks starch digestion",70,55,1993,"Similar compounds used as diet pills"
150,1SHF,SH3 Domain,signaling,"Common protein interaction module",85,70,1992,"Found in hundreds of signaling proteins"
151,1LDH,Lactate Dehydrogenase,enzyme,"Converts pyruvate to lactate during exercise",88,72,1994,"Why muscles burn during intense exercise"
152,1GPD,Glyceraldehyde-3-P Dehydrogenase,enzyme,"Key glycolysis enzyme",85,60,1995,"Also moonlights in nucleus affecting gene expression"
153,2PKA,Pyruvate Kinase,enzyme,"Last ATP-producing step of glycolysis",88,65,1994,"Cancer cells often express embryonic version"
154,1AL1,Aldolase,enzyme,"Splits sugar in glycolysis",82,55,1995,"Named for aldol condensation reaction"
155,1TPH,Triose Phosphate Isomerase,enzyme,"Near-perfect catalytic enzyme",80,65,1975,"Considered a perfectly evolved enzyme"
156,1CS1,Citrate Synthase,enzyme,"First step of citric acid cycle",88,62,1991,"Undergoes huge shape change on substrate binding"
157,1ACO,Aconitase,enzyme,"Citric acid cycle enzyme with iron sensor role",85,58,1996,"Also regulates iron metabolism when iron is low"
158,1IDH,Isocitrate Dehydrogenase,enzyme,"Citric acid cycle enzyme, mutated in cancer",88,70,2004,"Mutations cause brain tumors by making wrong product"
159,2OGD,Alpha-ketoglutarate Dehydrogenase,enzyme,"Key regulatory citric acid cycle enzyme",85,55,2002,"Rate-limiting step of citric acid cycle"
160,1SCS,Succinyl-CoA Synthetase,enzyme,"Produces GTP in citric acid cycle",82,52,1994,"Only substrate-level phosphorylation in cycle"
161,1FUM,Fumarase,enzyme,"Citric acid cycle hydration enzyme",80,50,1994,"Deficiency causes severe neurological problems"
162,1MDH,Malate Dehydrogenase,enzyme,"Regenerates oxaloacetate in citric acid cycle",82,55,1994,"Also works in shuttle systems between organelles"
163,1PCK,Pyruvate Carboxylase,enzyme,"Replenishes citric acid cycle",85,55,1994,"Critical for making glucose during fasting"
164,1PYC,PEP Carboxykinase,enzyme,"Rate-limiting step of gluconeogenesis",85,58,1996,"Key enzyme increased in diabetes"
165,1A82,Fatty Acid Synthase,enzyme,"Makes fat from carbohydrates",90,68,1997,"Potential obesity drug target"
166,2WVA,Acetyl-CoA Carboxylase,enzyme,"Rate-limiting step of fat synthesis",88,65,1997,"Target of diabetes and obesity research"
167,1UDI,Acyl-CoA Dehydrogenase,enzyme,"First step of fat burning",85,62,1996,"MCAD deficiency can cause sudden infant death"
168,1A9X,Carnitine Palmitoyltransferase,enzyme,"Moves fats into mitochondria for burning",88,60,1999,"Rate-limiting for fat oxidation"
169,1GS4,Glutamine Synthetase,enzyme,"Makes glutamine, ammonia detox",88,65,1994,"Among most regulated enzymes in nature"
